INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,coniferous_deciduous_ratio,evergreen_deciduous_ratio,keyword,번잡도,기쁨,자유로움,성취감,편안함,사랑,감사,흥미,재미,희망,자부심
한천로,서울특별시 동대문구 이문동 105-1,0.0439694358,양버즘나무 이팝나무 은행나무,0.382857143,0,,낮음,4.318857143,4.787428571,7.187428571,8.765714286,3.2,3.4,5.153142857,4.374857142,7.659428572,6.153142857
서울시립대로,서울특별시 동대문구 전농동 124-19,0.0150709992,은행나무,0.935064935,0,,중간,6.144155844,3.203896104,6.403896104,8.97012987,3.1,3.1,6.274025974,3.307792208,7.822077922,6.674025974
왕산로,서울특별시 동대문구 신설동 76-5,0.0326344599,단풍나무 이팝나무 은행나무,0.512195122,0,,중간,5.129268293,3.880487805,7.080487805,8.124390244,3.1,3.1,6.104878049,4.66097561,7.314634146,6.504878049
안암로,서울특별시 동대문구 제기동 142-19,0.0167560152,은행나무,0.592592593,0,,낮음,4.822222223,4.451851851,6.851851851,9.185185186,3.2,3.4,5.237037037,3.703703702,7.911111111,6.237037037
전농로,서울특별시 동대문구 답십리동 51-3,0.0189344058,양버즘나무 은행나무,0.716049383,0,,높음,6.118518519,2.854320987,6.854320987,7.632098766,3,2.8,7.086419753,4.708641974,7.05925926,6.886419753
회기로,서울특별시 동대문구 회기동 45-38,0.0217413056,은행나무,0.879518072,0,,낮음,5.510843373,3.992771085,6.392771085,9.759036144,3.2,3.4,5.351807229,2.78554217,8.255421686,6.351807229
제기로,서울특별시 동대문구 청량리동 34,0.0167241241,양버즘나무 은행나무,0.409090909,0,,낮음,4.381818182,4.745454546,7.145454546,8.818181818,3.2,3.4,5.163636363,4.290909091,7.690909091,6.163636363
황물로,서울특별시 동대문구 전농동 667-4,0.0175707318,양버즘나무 이팝나무 은행나무,0.392405063,0,,중간,4.841772151,4.072151899,7.272151899,7.884810126,3.1,3.1,6.056962025,5.044303798,7.170886075,6.456962025
홍릉로,서울특별시 동대문구 청량리동 205-850,0.0105367907,양버즘나무 은행나무,0.291666667,0,,낮음,4.100000001,4.933333333,7.333333333,8.583333334,3.2,3.4,5.116666666,4.666666666,7.550000001,6.116666666
천호대로47길,서울특별시 동대문구 답십리동 462-1,0.00216458834,느티나무,0.0833333333,0,,높음,4.6,3.866666666,7.866666666,6.366666666,3,2.8,6.833333334,6.733333334,6.3,6.633333334
장한로,서울특별시 동대문구 장안동 469-3,0.0182872917,이팝나무 벚나무,0.216216216,0,,높음,4.918918918,3.654054054,7.654054054,6.632432432,3,2.8,6.886486486,6.308108109,6.459459459,6.686486486
고산자로,서울특별시 동대문구 제기동 696,0.0182420916,양버즘나무,0.271186441,0,,낮음,4.050847458,4.966101694,7.366101694,8.542372882,3.2,3.4,5.108474576,4.732203389,7.525423729,6.108474576
겸재로,서울특별시 동대문구 휘경동 57-2,0.00292012314,메타세쿼이아 배롱나무,0.444444444,0,,중간,4.966666666,3.98888889,7.18888889,7.988888888,3.1,3.1,6.077777778,4.877777779,7.233333333,6.477777778
한천로63길,서울특별시 동대문구 이문동 225,0.00128039896,느티나무,0,0,,낮음,3.4,5.4,7.8,8,3.2,3.4,5,5.6,7.2,6
홍릉로25길,서울특별시 동대문구 청량리동 205-491,0.00136940553,은행나무,0.909090909,0,,낮음,5.581818182,3.945454546,6.345454546,9.818181818,3.2,3.4,5.363636363,2.690909091,8.29090909,6.363636363
장안벚꽃로,서울특별시 동대문구 장안동 473-7,0.0273610435,모과나무 양버즘나무 잣나무 이팝나무 은행나무 느티나무 벚나무,0.0746268657,0.0149253731,,높음,4.585074627,3.880597015,7.862686567,6.343283582,3.041791045,2.835820895,6.817910448,6.749253731,6.27761194,6.60597015
망우로,서울특별시 동대문구 휘경동 66-1,0.0162728545,은행나무,0.869565217,0,,중간,5.986956521,3.308695653,6.508695653,8.839130434,3.1,3.1,6.247826086,3.517391306,7.74347826,6.647826086
무학로,서울특별시 동대문구 용두동 118-86,0.0119818069,양버즘나무,0.85,0,,높음,6.44,2.64,6.64,7.9,3,2.8,7.14,4.28,7.22,6.94
이문로,서울특별시 동대문구 이문동 284-4,0.018939172,양버즘나무 은행나무,0.821917808,0,,낮음,5.372602739,4.084931507,6.484931507,9.643835616,3.2,3.4,5.328767123,2.969863014,8.18630137,6.328767123
